species,latitude,longitude
Gagea afghanica,39.578063,64.646654
Gagea afghanica,39.602251,64.636665
Gagea afghanica,39.649177,64.624135
Gagea afghanica,39.807965,65.498753
Gagea afghanica,38.95757,65.922919
Gagea afghanica,38.955794,65.892093
Gagea afghanica,39.55,66.15
Gagea afghanica,39.816988,65.319222
Gagea afghanica,39.76791,65.322171
Gagea afghanica,39.725308,65.319433
Gagea afghanica,39.841133,67.180263
Gagea afghanica,40.609046,65.977292
Gagea afghanica,40.682255,66.819084
Gagea afghanica,40.636244,66.612961
Gagea afghanica,40.536566,65.716849
Gagea afghanica,40.187816,66.825871
Gagea afghanica,40.513605,65.836752
Gagea afghanica,39.870823,67.423043
Gagea afghanica,39.866101,67.370213
Gagea afghanica,39.880524,67.317989
Gagea afghanica,39.906866,67.308765
Gagea afghanica,39.912103,67.260779
Gagea afghanica,39.905543,67.277903
Gagea afghanica,39.915406,67.331376
Gagea afghanica,39.900586,67.348151
Gagea afghanica,39.914263,67.405405
Gagea afghanica,39.923722,67.219012
Gagea afghanica,39.928004,67.166135
Gagea afghanica,39.918495,67.107984
Gagea afghanica,39.922026,67.048772
Gagea afghanica,39.924992,66.980918
Gagea afghanica,39.946807,66.967557
Gagea afghanica,39.925239,66.971166
Gagea afghanica,40.048375,66.963719
Gagea afghanica,40.095759,66.961848
Gagea afghanica,40.103715,66.917954
Gagea afghanica,40.141354,66.904265
Gagea afghanica,40.130332,66.844724
Gagea afghanica,40.139677,66.803296
Gagea afghanica,40.140774,66.734454
Gagea afghanica,40.183378,66.627498
Gagea afghanica,40.179569,66.580049
Gagea afghanica,40.216735,66.555376
Gagea afghanica,40.223495,66.516049
Gagea afghanica,40.226359,66.462971
Gagea afghanica,40.228469,66.399431
Gagea afghanica,40.235312,66.334044
Gagea afghanica,40.237709,66.291129
Gagea afghanica,40.274407,66.27038
Gagea afghanica,40.309265,66.190274
Gagea afghanica,40.309537,66.119528
Gagea afghanica,40.316699,66.070575
Gagea afghanica,40.315095,66.017789
Gagea afghanica,40.315417,65.938683
Gagea afghanica,40.312335,65.882565
Gagea afghanica,40.365128,65.879761
Gagea afghanica,40.320181,65.777495
Gagea afghanica,40.315395,65.734782
Gagea afghanica,40.355621,65.718001
Gagea afghanica,40.411689,65.758576
Gagea afghanica,40.44991,65.756426
Gagea afghanica,40.451079,65.708014
Gagea afghanica,40.497706,65.704955
Gagea afghanica,40.499919,65.666991
Gagea afghanica,40.500626,65.607215
Gagea afghanica,40.549946,65.601795
